Date,Description,Amount,Balance,Account
2024-01-15,STARBUCKS COFFEE,-4.50,12500.00,Checking
2024-01-18,AMAZON WEB SERVICES,-89.00,12411.00,Checking
2024-01-20,PAYROLL TRANSFER,5000.00,17411.00,Checking
2024-01-22,OFFICE DEPOT,-156.32,17254.68,Checking
2024-01-25,UTILITY BILL,-245.00,17009.68,Checking
2024-01-28,FRED ASTAIRE DANCE STUDIOS,-150.00,16859.68,Checking
2024-02-01,PAX8 INC,-299.00,16560.68,Checking
2024-02-05,GOOGLE ADS,-350.00,16210.68,Checking
2024-02-10,DELL TECHNOLOGIES,-850.00,15360.68,Checking
2024-02-15,RESTAURANT SUPPLY CO,-425.00,14935.68,Checking
2024-02-18,ATM WITHDRAWAL,-200.00,14735.68,Checking
2024-02-20,CLIENT PAYMENT - ABC CORP,3500.00,18235.68,Checking
2024-02-22,MICROSOFT 365,-12.00,18223.68,Checking
2024-02-25,UBER TECHNOLOGIES,-45.00,18178.68,Checking
2024-03-01,MONTHLY RENT,-2500.00,15678.68,Checking
2024-03-05,INSURANCE PREMIUM,-180.00,15498.68,Checking
2024-03-10,STAPLES OFFICE SUPPLY,-89.50,15409.18,Checking
2024-03-12,TECH SUPPORT INC,-200.00,15209.18,Checking
2024-03-15,BUSINESS LOAN PAYMENT,-500.00,14709.18,Checking
2024-03-20,CLIENT PAYMENT - XYZ LLC,2750.00,17459.18,Checking
